feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Clostridium.sensu.stricto.11	location	Punta Espinoza	0.0504810129488089	0.0477017462586465	68	68	0.293852394669794	0.492401309987222
Paraclostridium	location	Punta Espinoza	-0.0472360351661045	0.0458924277228278	68	68	0.307164295588808	0.50116279806595
Lachnospiraceae.NC2004.group	location	Rabida	-0.0889483646624689	0.0924329038572563	68	68	0.339464278306671	0.533331969597033
Acetitomaculum	location	Punta Espinoza	-0.0436135685203041	0.0453116978156639	68	68	0.344085141675505	0.533331969597033
Sarcina	location	Rabida	0.0576807891860698	0.0615923695104162	68	68	0.38967274331343	0.575231192510301
X.Eubacterium..ventriosum.group	location	Rabida	-0.0673818888598574	0.0744666516567786	68	68	0.389008430203898	0.575231192510301
X.Eubacterium..xylanophilum.group	location	Punta Espinoza	-0.0329304434269877	0.0396043770050007	68	68	0.4087439063079	0.589351678862553
Paraclostridium	location	Rabida	0.05648449552465	0.0707249810212104	68	68	0.427402014759625	0.602248293524926
Epulopiscium	location	Rabida	0.0469840679455542	0.0572965375204359	68	68	0.451856800854917	0.622558258955664
Clostridium.sensu.stricto.2	location	Rabida	-0.0455421146020223	0.0643098097996309	68	68	0.481373130845773	0.623000471431219
Hespellia	location	Rabida	-0.0948388435001833	0.134213195954849	68	68	0.48232294562417	0.623000471431219
Lachnospiraceae.UCG.001	location	Rabida	-0.0468263239572813	0.0651078283762825	68	68	0.474588231712054	0.623000471431219
Romboutsia	location	Rabida	-0.0296322950415433	0.0433516175314326	68	68	0.496699072160412	0.628476377019297
Lachnospiraceae.NK4A136.group	location	Punta Espinoza	-0.029843125726986	0.0465932489372678	68	68	0.524097132260828	0.649880444003426
Roseburia	location	Rabida	-0.0393567658633946	0.0642435059308341	68	68	0.542265993075348	0.659225324915128
Terrisporobacter	location	Rabida	-0.0286407283377536	0.0471497547402439	68	68	0.559339780937468	0.666905123425443
Anaerosporobacter	location	Rabida	0.0865385900722051	0.161771779293369	68	68	0.605071405507442	0.707819380027573
Lachnospiraceae.NC2004.group	location	Punta Espinoza	-0.0301743223117918	0.059978388091869	68	68	0.616603928586151	0.707952658747062
Cellulosilyticum	location	Rabida	-0.0311815461348561	0.0702347885429571	68	68	0.67202341408421	0.753767324246435
Romboutsia	location	Punta Espinoza	-0.0116233386818832	0.0281302440170651	68	68	0.680822099319361	0.753767324246435
Fonticella	location	Rabida	-0.0318904084360017	0.0828101004623461	68	68	0.701418493231398	0.762946431234152
Intestinibacter	location	Rabida	-0.0219878083762974	0.0617367109571421	68	68	0.722878268570174	0.772731942264669
Hespellia	location	Punta Espinoza	0.0229102761348367	0.0870890215291883	68	68	0.793330777718916	0.833669630823268
Lachnospiraceae.NK4A136.group	location	Rabida	-0.0153353955116878	0.0718050190481783	68	68	0.83155090991017	0.845182892039845
X.Ruminococcus..torques.group	location	Punta Espinoza	0.00874177474984752	0.0392119756263804	68	68	0.824284143039538	0.845182892039845
Epulopiscium	location	Punta Espinoza	-0.00551773540143214	0.0363353217106523	68	68	0.882713028893152	0.882713028893152
