location	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Cabo Douglas	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Punta Espinoza	Rabida	Rabida	Rabida	Rabida	Rabida	Rabida	Rabida	Rabida
Aminoglycoside|aadD	0	0	0	0	0	0	0	0	0	0	0	0	0	4.49E-07	0	0	0	0	0	0	0	0	4.13E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aadA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aphA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aadE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.71E-06	0	0
Aminoglycoside|str	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|strA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac3ia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.89E-06	0	0	0	0	0	0	0	0
Aminoglycoside|aph4ib	0	3.73E-07	0	0	1.61E-06	0	0	0	0	2.41E-07	0	3.39E-07	0	0	0	0	0	0	0	1.75E-07	0	0	5.84E-07	0	0	0	0	0	0	0	5.56E-07	0	0	0	0	0	0	0	0	9.24E-06	2.50E-06	0	0	0	0	9.03E-06	0	0	0	0	0	0	2.32E-06	0	3.14E-07	0	0	0	0	0	0	6.94E-07	0	0	0	0	5.45E-06	0
Aminoglycoside|aph3via	0	0	7.69E-07	0	1.37E-06	0	0	0	0	0	0	0	0	0	0	0	0	4.49E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.73E-06	0	0	0	0	0	0	0	0	0	0	0	0	8.57E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aph6ic	0	0	0	0	0	0	0	0	0	0	0	0	0	3.90E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.67E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	9.21E-07	0	6.58E-07	0	0	0	0	0	0
Aminoglycoside|ArmA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|spcN	0	0	0	0	2.25E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000164368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|spec_aph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(3)-ib	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(3)-id_ie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(3)-iid_iii_iif_iia_iie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62E-06	0	0	0	0	0	0	1.16E-06	0	3.98E-07	6.95E-06	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(3)-xa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|Aac6-Aph2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(6)-ig	0	4.09E-07	8.21E-07	0	0	0	0	0	5.44E-07	4.19E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.93E-06	7.09E-06	2.20E-05	0	0	0	0	1.37E-06	0	0	0	0	5.48E-07	1.34E-06	2.14E-06	0	2.30E-06	0	0	0	0	0	0	0	0	0	0	4.78E-07	0	0	0	0	0	0
Aminoglycoside|aac(6)-iic	0	0	0	0	0	5.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(6)-ij	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(6)-im	0	0	0	0	0	0	0	0	0	0	0	0	0	4.29E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(6)-ir	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(6)-is_iu_ix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37E-05	1.13E-05	1.46E-05	3.92E-05	4.86E-06	6.55E-06	8.45E-06	3.44E-06	3.79E-06	4.64E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(6)-iv_ih	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.53E-07	0	0	0	0	0	0
Aminoglycoside|aac(6)-iw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.09E-06	0	0	0	4.58E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(6)-iz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aacA43	1.02E-05	1.54E-06	2.96E-06	2.76E-05	8.06E-06	1.77E-05	3.34E-06	8.51E-05	3.33E-06	3.04E-06	1.72E-05	2.16E-06	0	1.06E-05	0	1.41E-05	0	6.08E-06	0	3.15E-06	0	2.79E-05	5.26E-06	0	2.38E-05	2.63E-05	1.92E-06	3.92E-06	2.79E-06	1.67E-05	3.41E-06	6.84E-05	0	5.60E-05	0	0	0	0	0	0.000121277	2.79E-05	9.99E-06	0	0	0	5.33E-05	3.64E-06	1.11E-05	5.69E-05	4.70E-05	4.38E-06	1.49E-05	2.75E-05	2.19E-06	1.02E-05	9.23E-05	4.89E-06	3.00E-05	8.69E-06	7.29E-06	0.000134774	4.90E-06	6.13E-06	8.57E-06	1.13E-05	8.85E-05	0.000117418	5.63E-05
Aminoglycoside|aadA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aadA7	0	1.94E-07	4.12E-07	3.43E-06	0	1.15E-06	0	6.18E-06	0	2.62E-07	0	0	0	0	0	0	1.22E-07	0	0	0	0	0	0	0	2.54E-06	1.91E-06	0	0	1.12E-06	0	1.41E-06	0	0	0	0	0	0	0	0	0	0	1.96E-06	0	0	1.81E-06	5.92E-06	4.36E-07	0	0	2.79E-06	0	4.53E-07	7.74E-07	0	8.36E-07	5.09E-06	0	3.85E-06	7.50E-07	0	7.32E-06	1.04E-06	2.24E-06	2.25E-06	0	1.19E-05	6.71E-06	5.84E-06
Aminoglycoside|aadA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aadA16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aadA17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aadB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.80E-07	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|ant4-ib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|ant6-ia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aph3-ib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aph3-viia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aph4-ia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aph(3)-ia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|apmA	0	0	0	0	0	0	9.77E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.89E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.26E-05	0	0
Aminoglycoside|aph_viii	0	0	0	0	0	1.51E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|acc3-iva	5.44E-06	0	2.35E-06	0	0	0	0	4.21E-05	0	0	9.54E-07	0	4.65E-06	0	0	1.07E-05	0	6.63E-06	4.01E-06	2.69E-06	6.87E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.70E-05	0	1.09E-05	0	0	0	1.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	5.33E-06	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(6)I1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(6)-Iy	0	1.08E-06	0	0	0	0	0	0	0	0	0	0	0	0	1.80E-05	0	0	0	0	4.25E-06	1.70E-06	0	0	0	0	0	0	0	2.52E-06	0	3.56E-06	0	0	0	0	0	0	0	0	0	4.72E-05	2.41E-05	0	0	0	0	7.87E-06	0	0	0	0	6.65E-06	4.50E-05	1.74E-06	0	0	0	0	3.48E-05	1.16E-05	0	0	0	0	0	0	0	0
Aminoglycoside|aph6ia	3.24E-06	2.38E-06	8.09E-07	1.03E-05	1.90E-06	0	3.74E-06	8.47E-06	8.26E-07	0	0	6.48E-07	1.25E-06	3.63E-06	3.25E-06	1.02E-05	5.66E-07	3.12E-06	1.04E-06	1.36E-06	2.92E-07	0	1.95E-06	2.40E-05	7.87E-06	3.41E-06	0	0	0	0	3.55E-07	6.34E-06	0	6.78E-06	2.27E-05	0	0	0	2.32E-06	1.81E-05	9.63E-06	1.06E-05	3.95E-06	7.69E-06	7.96E-06	1.06E-05	2.53E-06	4.86E-06	0	0	1.95E-06	3.48E-06	1.92E-06	0	6.02E-07	1.11E-05	0	5.20E-06	2.39E-06	3.53E-06	2.70E-05	0	0	0	1.59E-06	0	0	0
Aminoglycoside|aac3-Via	0.001389164	0.000249362	0.000454105	0.001030306	1.09E-06	0.001597048	2.65E-06	0.036109259	0.000621797	0.000115771	4.34E-05	0.000121268	0.00014146	0.000715159	4.72E-05	0.000371027	0.000188215	0.000167542	3.51E-05	4.81E-05	0.000257123	0.000973022	0.000327401	6.71E-05	0.000242617	0.000207717	1.23E-05	7.01E-06	0.002514867	0.000594085	0.002188393	0.00065724	0	0.000219534	0	0	0	0.000267844	0.000125442	0.004406172	0.002238311	0.001324687	0.000263579	0	0.000896856	0.010620507	0.000307365	0.000379797	0.000840818	0.000853783	2.40E-05	0.00011608	0.000127476	0.000209591	0.000680855	0.002112639	4.36E-05	6.35E-05	0.001045874	0.001367957	0	0.002844386	0	0	8.35E-05	0.001604967	0	0
Aminoglycoside|aph3-III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|ant6-ib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aminoglycoside|aac(3)-Xa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphenicol|catB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphenicol|catB8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphenicol|ceoA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphenicol|cmlA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphenicol|cmx(A)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphenicol|catA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphenicol|cmlA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphenicol|cat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphenicol|catA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphenicol|catA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphenicol|catB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.48E-06	0	6.35E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73E-05	0
Amphenicol|catB9	0	0	0	0	0	0	2.79E-06	3.53E-05	0	0	0	5.93E-07	0	0	0	0	0	0	4.09E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.48E-06	0	0	0	0	0	0	0	0	0	0	1.20E-05	0	0	0	0	0	0	0	0	0	0	0	0
Amphenicol|cat(pC221)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphenicol|catP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
