sample_id,DNA_ext_date,Qubit ng.ul,Nanodrop ng.ul,260/280,260/230,pellet_mg,location,island,species,scientific_name,country,sequence_id,pielou_evenness,faith_pd,observed_features,shannon_entropy,bray_PC1_17.32,bray_PC2_14.55,bray_PC3_6.85,wu_PC1_17.21,wu_PC2_8.74,wu_PC3_6.55
CD16,1/2/21,4.28,5.3,1.61,0.44,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD16_S84_L001,0.612620236,29.94587439,73,3.792011783,-0.0361377,0.06721616,0.01755257,0.059605445,0.007951488,-0.02393978
CD18,1/2/21,15.6,18.2,2.03,0.21,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD18_S82_L001,0.587036731,24.38090147,54,3.378330344,0.07919682,-0.1715414,0.06143442,-0.099613504,-0.067540427,0.053687943
CD19,1/2/21,5.18,11.2,1.39,0.58,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD19_S36_L001,0.586792324,35.37790914,74,3.643659573,0.19853963,0.02415538,0.00044481,-0.282592929,-0.063905663,0.01365239
CD21,1/2/21,11.4,6.1,2.11,0.88,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD21_S208_L001,0.642589564,21.21566038,46,3.549383268,-0.0462324,-0.107248,0.03333381,0.03987501,-0.028315283,0.054382381
CD24,1/2/21,4.18,55,1.55,0.62,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD24_S182_L001,0.579070206,28.40036512,69,3.537264515,-0.114452,-0.0024938,0.02728543,0.101711082,0.066649784,0.009286829
CD25,1/2/21,5.32,24.2,1.64,0.2,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD25_S151_L001,0.614134932,27.84007966,69,3.751458254,-0.0171949,-0.0262108,0.03857298,0.024247076,-0.022350456,0.0506589
CD27,1/2/21,24.8,27.1,1.75,1.08,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD27_S197_L001,0.56095482,26.67820857,66,3.390632013,-0.1442496,0.13615805,-0.007829,0.126793115,0.150404373,-0.041721686
CD31,1/2/21,3.36,42.8,1.55,0.38,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD31_S139_L001,0.671175048,32.42638506,68,4.085753166,-0.1197309,-0.3056363,0.04011648,0.175445259,-0.162643302,0.33414244
CD32,1/2/21,5.1,5.3,2.02,0.67,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD32_S253_L001,0.596493147,20.91570914,48,3.331391856,-0.0454713,-0.1156529,0.05974227,0.068181046,-0.050384105,0.030991835
CD33,1/2/21,24.4,31.5,1.7,0.16,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD33_S23_L001,0.566400887,27.1232566,63,3.385536651,-0.1509759,0.02704404,0.24030799,0.257818153,-0.162254145,-0.02104962
CD34,1/2/21,10.3,22.2,1.48,0.58,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD34_S120_L001,0.552399401,29.16882526,70,3.38581227,-0.2390566,-0.0612275,-0.0438645,0.219575138,0.121937356,0.015960866
CD37,1/2/21,2.16,22.2,1.47,0.26,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD37_S69_L001,0.581726424,28.78689383,64,3.490358541,-0.174999,-0.0503394,0.13204879,0.247399457,-0.112519524,0.046718332
CD38,1/2/21,14.7,26.5,1.7,0.15,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD38_S119_L001,0.595093029,21.74211947,50,3.358619477,0.01058965,-0.1555293,0.01916308,-0.029760976,-0.009861993,0.03952585
CD40,1/2/21,1.95,26.3,1.49,0.42,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD40_S237_L001,0.577504456,19.23238148,46,3.18988164,-0.1949784,0.01682868,0.01665083,0.184179803,0.102892734,-0.013693848
CD42,1/2/21,2.76,39.8,1.49,0.39,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD42_S79_L001,0.604261102,23.31237804,50,3.41036276,0.04384362,0.1911791,0.08993239,0.091677819,-0.13354413,-0.064437082
CD43,1/2/21,2.88,41,1.47,0.63,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD43_S221_L001,0.623298556,20.99676639,45,3.423064103,0.17198014,-0.060177,-0.0333856,-0.203632604,-0.021015848,-0.01908826
CD44,1/2/21,7.24,31.8,1.6,0.06,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD44_S17_L001,0.660865504,14.81134459,34,3.362128696,-0.1180644,-0.1866747,-0.0391591,0.071893346,0.024208855,0.06392575
CD49,1/2/21,11.7,13.8,1.6,0.84,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD49_S129_L001,0.60556826,19.90243398,43,3.285973705,-0.1134323,0.16300487,0.16467531,0.262792278,-0.131141414,-0.179484664
CD52,1/2/21,12.7,30.8,1.62,0.9,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD52_S32_L001,0.616803366,28.30631604,61,3.658098751,-0.0339789,-0.1077221,-0.0249494,-0.050457242,0.013698893,0.070418853
CD56,1/2/21,3.5,6.2,1.4,0.25,NA,Cabo Douglas,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,CD56_S167_L001,0.604283365,31.35411563,80,3.820235985,0.02089618,0.03251196,0.03909581,0.03305979,-0.047740041,-0.021475495
PE04,1/2/21,13.7,18.7,1.6,1.49,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE04_S98_L001,0.566354273,35.5932547,80,3.580450988,0.13855441,-0.0160975,-0.0220355,-0.155314963,0.025299143,-0.033309977
PE06,1/2/21,1.57,3.2,1.13,0.05,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE06_S155_L001,0.621625299,30.36387514,62,3.701279065,0.11897113,0.00744396,0.00074953,-0.13782696,-0.017937102,-0.025455355
PE08,1/2/21,1.48,5.2,1.14,0.32,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE08_S153_L001,0.639266315,30.41471965,70,3.918244167,-0.1966723,0.13201366,-0.3215823,0.065858836,0.312526939,0.014763205
PE09,1/2/21,2.28,19.5,1.51,0.14,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE09_S6_L001,0.620869193,35.95702625,73,3.843071378,0.03941045,-0.0805144,-0.0167406,-0.034708155,-0.032865831,0.023788306
PE10,1/2/21,2.92,37.4,1.5,0.5,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE10_S259_L001,0.582979422,27.86953847,71,3.585176024,0.17903431,0.00952368,-0.0671906,-0.197814477,0.006964063,-0.048782333
PE13,1/2/21,3.38,8,1.55,0.49,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE13_S3_L001,0.616771033,40.09956901,94,4.042680538,-0.0573707,0.10345754,0.1016244,0.135812865,-0.078011241,0.034288367
PE19,1/3/21,1.59,2.8,3.43,0.24,22.7,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE19_S34_L001,0.582957479,30.48457485,73,3.608404523,0.18758195,0.01101439,-0.0702688,-0.230375084,-0.013413602,-0.010590134
PE23,1/2/21,13.8,17.1,1.66,0.68,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE23_S145_L001,0.595536771,25.12722771,58,3.488643084,0.0823555,-0.0105553,0.04228965,-0.017018184,-0.056922971,-0.037844301
PE25,1/2/21,20.8,45.3,1.69,0.74,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE25_S62_L001,0.617030678,24.96129466,52,3.517346182,0.16206012,-0.0142469,0.00826344,-0.11654481,-0.052765913,-0.044162476
PE26,1/3/21,1.08,1.9,3.07,0.01,22.9,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE26_S124_L001,0.636844591,41.12205475,102,4.249297986,0.03525631,0.03565993,0.04930723,0.02723344,-0.090797423,0.059016935
PE28,1/3/21,3.14,6.4,2.03,0.03,17.1,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE28_S258_L001,0.571139345,31.87170974,70,3.500674685,0.18633187,0.00525781,-0.08108,-0.230084887,0.027398022,-0.026321925
PE29,1/2/21,3.68,7.2,1.43,0.05,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE29_S164_L001,0.612400059,35.6164296,81,3.882524518,0.1263451,-0.0027831,-0.0341015,-0.141084932,-0.022707809,0.03325665
PE32,1/2/21,6.34,29,1.47,0.33,NA,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE32_S61_L001,0.609459179,33.60959246,78,3.830696075,0.13162399,-0.0564366,-0.060022,-0.184148856,-0.009335114,0.001176396
PE33,1/4/21,4.72,5.7,1.66,1.15,20.7,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE33_S226_L001,0.589060642,30.60557747,67,3.573294395,0.10622208,0.04170707,-0.033792,-0.13554563,0.026063961,-0.023463513
PE34,1/3/21,2.62,5,2.2,0.28,22.7,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE34_S192_L001,0.594396795,25.98040106,56,3.451873151,-0.1678667,0.09408056,-0.2727308,0.069532002,0.27333723,0.008941289
PE36,1/3/21,5.22,54.9,1.58,0.23,45.2,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE36_S86_L001,0.63678231,36.06649236,89,4.123632495,0.11411732,-0.0395999,-0.046306,-0.115403766,-0.040740189,0.035553774
PE37,1/3/21,6.24,10,1.88,1.29,38.3,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE37_S261_L001,0.614696873,26.3775893,69,3.754890881,0.03585929,0.06241275,-0.0640029,-0.064325773,0.080482505,-0.029545808
PE43,1/4/21,5.32,7.4,1.69,0.97,25.2,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE43_S248_L001,0.631567839,23.48519776,54,3.634601864,0.04559716,-0.0784059,0.10155341,0.016122626,-0.136452581,0.013608292
PE44,1/3/21,2.84,4.8,2.78,0.03,26.9,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE44_S240_L001,0.589607668,29.20909011,72,3.63783509,0.17236168,0.02377315,-0.079628,-0.217780019,-0.009196937,0.004206119
PE46,1/3/21,0.732,3.4,1.66,0.02,12.5,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE46_S81_L001,0.644074772,25.95171368,56,3.740370797,0.09323918,0.02595264,0.00842729,-0.072170992,-0.04075345,-0.015489477
PE48,1/3/21,8.32,10.2,2.35,0.56,33.3,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE48_S229_L001,0.620798833,28.26301102,62,3.696358119,0.03736515,0.07173923,-0.0421544,-0.053545198,0.040573039,-0.026299461
PE49,1/4/21,10.9,11.2,1.78,0.2,21.3,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE49_S260_L001,0.622064158,21.97029959,51,3.528612495,-0.0208492,0.04345811,0.08423998,0.07070641,-0.060735947,-0.021715
PE50,1/3/21,6.24,8.7,1.79,0.1,27,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE50_S10_L001,0.634477079,25.35988646,59,3.732402181,0.02285926,0.0656569,0.05887102,0.074144391,-0.086334673,-0.048293455
PE52,1/3/21,8.18,51.8,1.59,0.66,25.9,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE52_S185_L001,0.621378071,23.8779672,52,3.542128237,0.12155347,0.06287354,0.05355308,-0.103940572,-0.060138459,-0.047075571
PE54,1/3/21,20.4,25.1,1.76,0.19,36,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE54_S88_L001,0.589042352,27.70730098,68,3.585773431,0.08258889,0.02338725,0.02635385,-0.10243316,-0.029014275,-0.003673332
PE55,1/3/21,2.52,5.5,1.77,0.08,13,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE55_S115_L001,0.61446658,22.06590326,49,3.450051556,0.14139862,-0.0319814,0.05347432,-0.132134535,-0.062481631,-0.000486119
PE57,1/4/21,17.1,24.5,1.82,0.12,42.8,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE57_S105_L001,0.646837433,17.10807748,41,3.465465184,0.10224874,0.06475832,0.00832628,-0.050586956,-0.018509571,-0.075159856
PE58,1/3/21,2.6,47.4,1.52,0.33,22.2,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE58_S219_L001,0.629167184,18.14548011,41,3.370795907,0.07932876,0.00384092,-0.0931567,-0.14277007,0.103470956,-0.037912752
PE60,1/3/21,7.3,8.3,1.6,0.16,22.4,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE60_S171_L001,0.596415156,26.48064014,64,3.578490939,0.01364157,0.06605209,-0.0647586,-0.026395638,0.097682442,-0.042317364
PE61,1/3/21,7.72,10.6,1.57,0.18,33.7,Punta Espinoza,Fernandina,marine iguana,Amblyrhynchus cristatus,Ecuador,PE61_S163_L001,0.605551684,34.25442998,81,3.839106845,0.16486457,-0.0482011,-0.0135073,-0.190051549,-0.063320066,0.02562283
R01,1/4/21,2.26,0.9,0.93,0.31,22.2,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,R01_S87_L001,0.561981313,25.33426055,62,3.346147058,-0.2098843,0.01213577,0.03165041,0.221292319,0.05444831,-0.04207336
R02,1/4/21,10,10.9,1.87,0.8,31.1,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,R02_S156_L001,0.658983641,22.16687497,47,3.660383183,-0.1163041,-0.1278435,-0.0894926,-0.017831058,0.046760389,0.06431758
R03,1/4/21,7.48,7.5,2.57,0.13,17.9,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,R03_S39_L001,0.601692815,23.36546977,48,3.360431806,-0.0422387,-0.0531871,0.08883692,0.077954971,-0.068141608,-0.008501449
R04,1/4/21,10,11.2,1.97,1.62,18.8,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,R04_S132_L001,0.607703965,16.61768198,37,3.165805466,0.02978112,0.18431574,0.15515686,0.137026878,-0.136125932,-0.15967602
R05,1/4/21,2.88,4.7,1.8,0.14,20.7,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,R05_S158_L001,0.671759597,23.90386738,57,3.918299847,0.00131268,0.1008119,-0.043576,0.10051248,-0.050039676,-0.041606826
R06,1/4/21,<0.5,1.4,1.55,0.1,4.7,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,R06_S110_L001,0.647556518,22.14809371,53,3.709152225,-0.0925048,0.02211221,0.01462164,0.089565753,0.003472828,-0.02017206
R07,1/4/21,8.8,1.09,17.1,1.6,0.36,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,R07_S144_L001,0.648675441,21.25131915,47,3.603125371,-0.1042229,-0.0823217,-0.1081356,0.012756111,0.113402963,0.038648066
R08,1/4/21,1.75,2.1,2.1,0.33,17.3,Rabida,Rabida,marine iguana,Amblyrhynchus cristatus,Ecuador,R08_S232_L001,0.652298838,15.04362922,39,3.447661728,-0.1196911,-0.0446466,0.08908413,0.155294261,-0.059258224,-0.015079125
