# Pathway	CD11_S3_L008_paired_merged.assembled_Abundance	CD13_S9_L008_paired_merged.assembled_Abundance	CD15_S1_L008_paired_merged.assembled_Abundance	CD18_S19_L008_paired_merged.assembled_Abundance	CD21_S24_L008_paired_merged.assembled_Abundance	CD27_S29_L008_paired_merged.assembled_Abundance	CD34_S34_L008_paired_merged.assembled_Abundance	CD38_S39_L008_paired_merged.assembled_Abundance	CD44_S4_L008_paired_merged.assembled_Abundance	CD49_S10_L008_paired_merged.assembled_Abundance	CD4_S33_L008_paired_merged.assembled_Abundance	CD6_S38_L008_paired_merged.assembled_Abundance	PE04_S35_L008_paired_merged.assembled_Abundance	PE23_S40_L008_paired_merged.assembled_Abundance	PE25_S5_L008_paired_merged.assembled_Abundance	PE32_S11_L008_paired_merged.assembled_Abundance	PE36_S16_L008_paired_merged.assembled_Abundance	PE37_S21_L008_paired_merged.assembled_Abundance	PE48_S26_L008_paired_merged.assembled_Abundance	PE49_S31_L008_paired_merged.assembled_Abundance	PE52_S36_L008_paired_merged.assembled_Abundance	PE54_S41_L008_paired_merged.assembled_Abundance	PE57_S6_L008_paired_merged.assembled_Abundance	PE60_S12_L008_paired_merged.assembled_Abundance	R01_S17_L008_paired_merged.assembled_Abundance	R02_S22_L008_paired_merged.assembled_Abundance	R03_S27_L008_paired_merged.assembled_Abundance	R04_S32_L008_paired_merged.assembled_Abundance	R05_S37_L008_paired_merged.assembled_Abundance	R06_S42_L008_paired_merged.assembled_Abundance	R07_S7_L008_paired_merged.assembled_Abundance	R08_S13_L008_paired_merged.assembled_Abundance
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0.00192219	0	0.0146766	0	0.0233245	0.00487867	0.00808353	0.00408592	0.00306055	0	0.0011778	0	0	0.00228867	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_goldsteinii	0	0	0	0	0	0	0	0	0	0	0	0	0.000687825	0	0	0.000661958	0.00156439	0.000303266	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Photobacterium.s__Photobacterium_damselae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00515323	0	0	0	0	0	0	0.00207518	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Salmonella.s__Salmonella_enterica	0	0	0	0	0	0	0	0	0	0	0.00177207	0	0	0	0	0	0	0.00695163	0	0	0.00592532	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Shewanella.s__Shewanella_algae	0	0	0	0	0	0	0	0	0	0	0	0	0.0043456	0.00842227	0.00461895	0	0.00233635	0	0	0	0.00105355	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Streptococcus.s__Streptococcus_mitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000631749	0
UNINTEGRATED|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0318444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Vibrio.s__Vibrio_antiquarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00230424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|unclassified	0.132712	0.150641	0.165025	0.146568	0.146898	0.145067	0.168022	0.153639	0.149303	0.148582	0.129403	0.133582	0.112197	0.135449	0.119558	0.133202	0.117502	0.134491	0.122718	0.144832	0.134694	0.136802	0.146225	0.151626	0.154819	0.153239	0.159581	0.148618	0.131709	0.154263	0.151791	0.166535
1CMET2-PWY: folate transformations III (E. coli)	8.35393e-05	6.42008e-05	4.20317e-05	6.77585e-05	0.00010421	6.25895e-05	4.73547e-05	6.31271e-05	5.7927e-05	0.000109099	0.000104391	7.68493e-05	6.53304e-05	0.000109816	0.000113478	0.000109742	0.000101176	9.96023e-05	4.36547e-05	7.78626e-05	8.26921e-05	6.10187e-05	7.42758e-05	9.86557e-05	8.02816e-05	8.12337e-05	8.55201e-05	7.54734e-05	7.88357e-05	5.32227e-05	4.70596e-05	4.48793e-05
1CMET2-PWY: folate transformations III (E. coli)|g__Butyricimonas.s__Butyricimonas_synergistica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5786e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	1.4043e-05	0	2.09178e-05	4.99075e-06	6.35891e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28449e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)|unclassified	8.14439e-05	6.38188e-05	2.84836e-05	5.9704e-05	0.000103353	6.06744e-05	4.72788e-05	6.30188e-05	5.5564e-05	0.000107378	8.17087e-05	6.10957e-05	3.06477e-05	6.31891e-05	6.569e-05	6.15429e-05	3.50779e-05	5.62487e-05	0	6.95867e-05	6.83739e-05	5.59365e-05	7.21222e-05	8.26574e-05	8.02816e-05	7.23473e-05	8.55201e-05	7.54734e-05	6.00179e-05	4.78847e-05	4.6733e-05	4.48793e-05
ANAEROFRUCAT-PWY: homolactic fermentation	1.79221e-05	4.94782e-05	9.36422e-05	9.48844e-05	1.76634e-05	0	0	2.42818e-05	4.77345e-05	4.95925e-05	0.000113436	3.57599e-05	0.000104161	6.3976e-05	0.000109172	9.05076e-05	9.10289e-05	5.41123e-05	4.57301e-05	3.39476e-05	4.03054e-05	9.8147e-06	9.90664e-06	1.52453e-05	0	6.28253e-05	1.89629e-05	5.58943e-06	3.74117e-05	0	0.000133406	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	1.79188e-05	4.93772e-05	8.97193e-05	5.94164e-05	1.75159e-05	0	0	0	0	3.636e-05	2.80892e-05	3.51642e-05	6.56564e-05	2.80469e-05	5.78715e-05	2.74193e-05	1.83181e-05	9.82377e-06	3.72184e-05	3.39273e-05	0	9.79093e-06	9.90214e-06	0	0	0	1.89616e-05	5.58943e-06	1.07965e-05	0	8.36559e-05	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.000206867	0.000258754	0.000167171	0.000258364	0.000276108	0.000215781	0.000293835	0.000299613	0.000317255	0.00026324	0.000225079	0.00021012	0.000184522	0.000240654	0.000189731	0.000202472	0.000150095	0.00016477	0.000187924	0.000294648	0.000213481	0.00018436	0.000239832	0.000223439	0.000276666	0.000228693	0.000341712	0.000272641	0.000235589	0.000230609	0.000228241	0.000320419
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	1.56165e-05	0	2.32111e-05	5.25527e-06	7.96935e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0.000205874	0.000255113	0.000165807	0.000250509	0.000267839	0.000214003	0.000290769	0.000296137	0.000299643	0.000246428	0.000190068	0.00019175	0.000150845	0.000225854	0.00014087	0.000177881	0.000108363	0.000150177	0.000186557	0.000291582	0.000207081	0.000178369	0.000236937	0.00021814	0.000276458	0.000224019	0.000341131	0.000272641	0.000228029	0.000229528	0.000219307	0.000320419
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	1.91734e-05	7.83595e-05	8.48403e-05	7.14063e-05	7.54857e-05	6.46912e-05	4.97978e-05	0.000104745	9.67733e-05	5.38631e-05	7.25025e-05	7.49549e-05	6.01238e-05	7.82083e-05	6.72538e-05	3.67945e-05	3.44312e-05	3.16448e-05	4.49458e-05	8.15954e-05	7.40203e-05	3.78385e-05	6.25032e-05	5.59675e-05	8.66449e-05	6.57655e-05	8.74414e-05	6.192e-05	4.09718e-05	4.5285e-05	0	0.000109584
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	1.85981e-05	7.76088e-05	8.35123e-05	7.08657e-05	7.50214e-05	6.44567e-05	4.971e-05	0.000104085	8.84623e-05	5.36866e-05	5.20635e-05	7.17183e-05	3.10773e-05	5.2114e-05	4.87885e-05	3.50851e-05	2.57643e-05	1.97231e-05	4.48512e-05	8.14316e-05	4.28922e-05	3.78117e-05	6.15556e-05	5.54824e-05	6.97586e-05	6.34639e-05	8.7346e-05	6.192e-05	4.05721e-05	4.49855e-05	0	0.000109584
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0	1.11987e-05	0	1.77449e-05	8.87288e-06	2.40849e-05	8.93829e-06	7.61978e-06	0	5.52521e-05	0.000153921	1.27386e-05	3.89936e-05	1.51983e-05	2.95056e-05	2.27461e-05	4.37074e-05	4.23682e-05	2.62832e-05	3.05362e-05	4.35332e-05	2.71372e-05	4.19233e-05	2.4344e-05	7.53131e-06	9.47441e-06	0	3.52863e-05	1.52624e-05	1.90255e-05	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.92822e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	1.27801e-05	0	1.94051e-05	3.14476e-06	6.06652e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II|unclassified	0	1.11863e-05	0	1.76887e-05	8.86571e-06	2.40208e-05	8.93453e-06	7.61532e-06	0	5.50031e-05	2.04923e-05	1.27344e-05	1.62053e-05	1.05931e-05	1.78912e-05	1.65099e-05	3.29712e-05	3.79199e-05	2.61474e-05	1.63502e-05	4.3433e-05	2.71233e-05	1.87353e-05	2.43318e-05	7.53131e-06	9.45603e-06	0	3.52863e-05	6.91403e-06	1.90081e-05	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.000112928	0.000238589	0.000134899	0.000233886	0.000285597	0.000229279	0.000268545	0.000274801	0.000267128	0.000190377	0.000214562	0.000194334	0.000162592	0.000214337	0.000187953	0.000233202	0.000192003	0.000216768	0.000217414	0.000230492	0.000200596	0.000176588	0.000186438	0.000236563	0.000232904	0.000271864	0.00027587	0.000181095	0.000165212	0.000225586	0.000158589	0.000248512
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Shewanella.s__Shewanella_algae	0	0	0	0	0	0	0	0	0	0	0	0	0	6.67988e-06	2.74148e-06	0	3.62924e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55607e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	0.000112345	0.000233587	0.000124106	0.000218719	0.000274798	0.000223514	0.00026352	0.000260236	0.000257377	0.000187825	0.000200336	0.000185668	0.000146066	0.000156793	0.000159711	0.000205251	0.000166716	0.000206875	0.000212301	0.000227717	0.000193213	0.000175681	0.000180258	0.000234116	0.000232736	0.000259645	0.000273983	0.000181095	0.000156839	0.000221739	0.000153589	0.000248512
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.00012627	0.000191541	0.000121979	0.000169764	0.000235383	0.000204921	0.000233762	0.000219311	0.000224334	0.000148417	0.000181461	0.000144915	0.000187089	0.000191168	0.000161487	0.000200058	0.000171873	0.000196334	0.000180315	0.000194493	0.000157508	0.000151116	0.000141812	0.000201359	0.000186614	0.000269616	0.000226809	0.000136698	0.000118051	0.000202593	0.000118817	0.000189416
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Eggerthella.s__Eggerthella_lenta	0	0	0	6.59708e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Shewanella.s__Shewanella_algae	0	0	0	0	0	0	0	0	0	0	0	0	0	5.35357e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37007e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	0.000125687	0.000186164	0.000116297	0.000155449	0.000221303	0.000195262	0.000223053	0.000198536	0.000211977	0.000147143	0.000170332	0.000136409	0.000171826	0.00015347	0.000150244	0.000184447	0.000154431	0.000190838	0.000175617	0.000193338	0.000149969	0.000150573	0.000134885	0.00019706	0.000186527	0.000256479	0.000225907	0.000136698	0.000115061	0.000201788	0.000116549	0.000189416
ARO-PWY: chorismate biosynthesis I	0.000100613	0.00010412	6.82764e-05	0.00010135	0.000126067	0.000122601	0.000161764	0.000108719	0.000114522	0.000130796	0.000138727	0.000108328	0.000125249	0.000142602	0.000124279	0.000142411	0.00012747	0.000130543	9.49108e-05	0.000116814	9.55506e-05	0.000117307	0.000122135	0.000114253	8.53679e-05	0.000137681	0.00011225	0.000112053	9.38926e-05	0.000112684	0.000118025	0.000120771
ARO-PWY: chorismate biosynthesis I|g__Alistipes.s__Alistipes_shahii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.93298e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Eggerthella.s__Eggerthella_lenta	0	0	0	0	0	7.38942e-06	8.48037e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	1.62906e-05	0	1.87638e-05	3.853e-06	6.6019e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Shewanella.s__Shewanella_algae	0	0	0	0	0	0	0	0	0	0	0	0	0	6.22132e-06	4.09155e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03695e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARO-PWY: chorismate biosynthesis I|unclassified	7.47545e-05	9.47697e-05	5.54641e-05	9.32609e-05	0.000106666	0.000101876	0.000152784	9.48882e-05	0.000102844	0.000129581	0.000117799	9.21176e-05	9.16338e-05	9.78825e-05	8.87773e-05	0.000104233	9.36249e-05	0.000116643	8.66821e-05	0.000116814	8.49636e-05	0.000117102	0.000115966	0.000112353	8.4625e-05	0.000117203	0.000111234	0.000112053	7.92806e-05	0.000108453	9.59698e-05	0.000120771
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	2.3045e-05	3.7145e-05	2.57232e-05	2.40406e-05	2.36922e-05	3.79652e-05	0	3.3897e-05	2.69698e-05	5.30969e-05	8.65227e-05	5.70292e-05	6.22257e-05	5.32647e-05	5.92162e-05	5.63181e-05	4.24145e-05	4.55377e-05	4.05436e-05	5.95513e-05	3.68555e-05	3.91052e-05	7.13873e-05	3.89276e-05	1.87029e-05	1.12829e-05	2.44919e-05	7.59422e-05	3.192e-05	3.57711e-05	6.97265e-06	1.70921e-05
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Butyricimonas.s__Butyricimonas_synergistica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34125e-06	2.86603e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	9.96361e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	1.17275e-05	0	1.87677e-05	4.26073e-06	5.79001e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Salmonella.s__Salmonella_enterica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.29269e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	7.32309e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|unclassified	1.2594e-05	3.05062e-05	2.57232e-05	1.09048e-05	2.36897e-05	3.79652e-05	0	3.3897e-05	1.8043e-05	5.30864e-05	4.82333e-05	4.72725e-05	5.29085e-05	2.56023e-05	2.59242e-05	3.1735e-05	2.58315e-05	3.20098e-05	3.40163e-05	5.84615e-05	2.58962e-05	3.04339e-05	6.37024e-05	3.28234e-05	0	8.02779e-06	2.43367e-05	7.59422e-05	3.17103e-05	3.53752e-05	6.79209e-06	1.70921e-05
AST-PWY: L-arginine degradation II (AST pathway)	0	0	0	0	0	0	0	0	4.04308e-06	0	3.74867e-06	5.12541e-06	0	9.51712e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AST-PWY: L-arginine degradation II (AST pathway)|g__Shewanella.s__Shewanella_algae	0	0	0	0	0	0	0	0	0	0	0	0	0	6.04428e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AST-PWY: L-arginine degradation II (AST pathway)|unclassified	0	0	0	0	0	0	0	0	0	0	3.20064e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0	0	0	0	0	0	0	0	0	0	1.29656e-05	0	0	5.34308e-05	0	0	0	9.11275e-06	0	0	1.29989e-05	0	1.70528e-05	9.67024e-06	0	0	0	0	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76803e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07618e-06	0	0	6.26532e-06	0	0	6.12135e-06	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.00038953	0.000362509	0.000257794	0.00036572	0.000442403	0.00035841	0.00038671	0.000413381	0.000448905	0.000385985	0.000303661	0.000326548	0.000241475	0.000280489	0.000242864	0.000284445	0.000230436	0.000267661	0.000313873	0.000403058	0.000314546	0.000296114	0.000283364	0.000338178	0.00035022	0.000378463	0.000415527	0.000343278	0.000313033	0.000366588	0.000297661	0.000429402
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.95303e-06	0	0	0	0	0	0	0	0	0	0	0	5.02389e-06	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Eggerthella.s__Eggerthella_lenta	0	0	0	5.26989e-06	8.1502e-06	8.77712e-06	0	6.56662e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0	0	0	1.91229e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	0	0	0	0	0	0	0	0	0	0	0	0	1.71731e-05	0	2.33079e-05	5.44509e-06	7.73825e-06	4.78751e-06	0	0	0	0	0	3.22738e-06	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Shewanella.s__Shewanella_algae	0	0	0	0	0	0	0	0	0	0	0	0	0	8.47587e-06	4.73368e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Vibrio.s__Vibrio_alginolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14825e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
