Type,Class,Gene,Location,Mean,SD
ARG,aminoglycoside,KDPE,Rabida,5.52E-05,2.34E-05
ARG,aminoglycoside,PSEUDOMONAS_AERUGINOSA_EMRE,Cabo Douglas,2.09E-05,3.13E-05
ARG,aminoglycoside,PSEUDOMONAS_AERUGINOSA_EMRE,Punta Espinoza,1.54E-05,2.80E-05
ARG,aminoglycoside,PSEUDOMONAS_AERUGINOSA_EMRE,Rabida,1.46E-05,2.71E-05
ARG,aminoglycoside,PVRR,Cabo Douglas,0,0
ARG,aminoglycoside,PVRR,Punta Espinoza,0,0
ARG,aminoglycoside,PVRR,Rabida,9.60E-06,2.72E-05
ARG,aminoglycoside:aminocoumarin,CPXA,Cabo Douglas,0,0
ARG,aminoglycoside:aminocoumarin,CPXA,Punta Espinoza,7.81E-06,1.83E-05
ARG,aminoglycoside:aminocoumarin,CPXA,Rabida,0,0
ARG,bacitracin,BACA,Cabo Douglas,6.58E-05,1.44E-05
ARG,bacitracin,BACA,Punta Espinoza,5.87E-05,9.90E-06
ARG,bacitracin,BACA,Rabida,6.37E-05,7.26E-06
ARG,bacitracin,BCRA,Cabo Douglas,6.58E-05,1.44E-05
ARG,bacitracin,BCRA,Punta Espinoza,5.87E-05,9.90E-06
ARG,bacitracin,BCRA,Rabida,6.37E-05,7.26E-06
ARG,bacitracin,BCRC,Cabo Douglas,8.98E-06,2.16E-05
ARG,bacitracin,BCRC,Punta Espinoza,0,0
ARG,bacitracin,BCRC,Rabida,2.60E-05,3.60E-05
ARG,beta-lactam,BJP-1,Cabo Douglas,1.76E-05,2.66E-05
ARG,beta-lactam,BJP-1,Punta Espinoza,8.29E-06,1.95E-05
ARG,beta-lactam,BJP-1,Rabida,0,0
ARG,beta-lactam,BLAI,Cabo Douglas,1.89E-05,2.83E-05
ARG,beta-lactam,BLAI,Punta Espinoza,3.02E-05,3.25E-05
ARG,beta-lactam,BLAI,Rabida,2.24E-05,3.10E-05
ARG,beta-lactam,BLAR1,Cabo Douglas,0,0
ARG,beta-lactam,BLAR1,Punta Espinoza,4.53E-06,1.57E-05
ARG,beta-lactam,BLAR1,Rabida,1.75E-05,3.25E-05
ARG,beta-lactam,CLASS_A,Cabo Douglas,0,0
ARG,beta-lactam,CLASS_A,Punta Espinoza,3.55E-06,1.23E-05
ARG,beta-lactam,CLASS_A,Rabida,0,0
ARG,beta-lactam,MECA,Cabo Douglas,1.64E-05,3.10E-05
ARG,beta-lactam,MECA,Punta Espinoza,1.52E-05,2.75E-05
ARG,beta-lactam,MECA,Rabida,3.80E-05,3.18E-05
ARG,beta-lactam,MECC,Cabo Douglas,6.91E-06,2.39E-05
ARG,beta-lactam,MECC,Punta Espinoza,1.01E-05,2.37E-05
ARG,beta-lactam,MECC,Rabida,1.46E-05,2.71E-05
ARG,beta-lactam,MECI,Cabo Douglas,2.81E-05,3.55E-05
ARG,beta-lactam,MECI,Punta Espinoza,5.42E-05,1.97E-05
ARG,beta-lactam,MECI,Rabida,3.29E-05,3.56E-05
ARG,beta-lactam,METALLO-BETA-LACTAMASE,Cabo Douglas,5.98E-06,2.07E-05
ARG,beta-lactam,METALLO-BETA-LACTAMASE,Punta Espinoza,3.70E-06,1.28E-05
ARG,beta-lactam,METALLO-BETA-LACTAMASE,Rabida,0,0
ARG,beta-lactam,NMCR,Cabo Douglas,2.96E-05,3.25E-05
ARG,beta-lactam,NMCR,Punta Espinoza,1.63E-05,2.44E-05
ARG,beta-lactam,NMCR,Rabida,8.51E-06,2.41E-05
ARG,beta-lactam,OXA,Cabo Douglas,4.06E-06,1.41E-05
ARG,beta-lactam,OXA,Punta Espinoza,3.70E-06,1.28E-05
ARG,beta-lactam,OXA,Rabida,0,0
ARG,beta-lactam,PBP-1A,Cabo Douglas,2.33E-05,2.97E-05
ARG,beta-lactam,PBP-1A,Punta Espinoza,4.18E-05,2.64E-05
ARG,beta-lactam,PBP-1A,Rabida,1.56E-05,2.91E-05
ARG,beta-lactam,PBP-1B,Cabo Douglas,0,0
ARG,beta-lactam,PBP-1B,Punta Espinoza,4.95E-06,1.72E-05
ARG,beta-lactam,PBP-1B,Rabida,0,0
ARG,beta-lactam,PBP-2X,Cabo Douglas,5.98E-06,2.07E-05
ARG,beta-lactam,PBP-2X,Punta Espinoza,2.68E-05,2.88E-05
ARG,beta-lactam,PBP-2X,Rabida,6.98E-06,1.97E-05
ARG,beta-lactam,PENA,Cabo Douglas,6.23E-05,2.32E-05
ARG,beta-lactam,PENA,Punta Espinoza,5.87E-05,9.90E-06
ARG,beta-lactam,PENA,Rabida,6.37E-05,7.26E-06
ARG,beta-lactam,SHV,Cabo Douglas,2.54E-05,3.83E-05
ARG,beta-lactam,SHV,Punta Espinoza,9.16E-06,2.15E-05
ARG,beta-lactam,SHV,Rabida,9.60E-06,2.72E-05
ARG,beta-lactam,TEM,Cabo Douglas,1.77E-05,3.24E-05
ARG,beta-lactam,TEM,Punta Espinoza,0,0
ARG,beta-lactam,TEM,Rabida,0,0
ARG,beta-lactam,TLA-1,Cabo Douglas,5.48E-06,1.90E-05
ARG,beta-lactam,TLA-1,Punta Espinoza,8.60E-06,2.05E-05
ARG,beta-lactam,TLA-1,Rabida,1.66E-05,3.12E-05
ARG,diaminopyrimidine,DFRA1,Cabo Douglas,3.57E-05,3.33E-05
ARG,diaminopyrimidine,DFRA1,Punta Espinoza,5.87E-05,9.90E-06
ARG,diaminopyrimidine,DFRA1,Rabida,5.52E-05,2.34E-05
ARG,diaminopyrimidine,DFRA12,Cabo Douglas,0,0
ARG,diaminopyrimidine,DFRA12,Punta Espinoza,1.42E-05,2.62E-05
ARG,diaminopyrimidine,DFRA12,Rabida,0,0
ARG,diaminopyrimidine,DFRA14,Cabo Douglas,5.44E-06,1.88E-05
ARG,diaminopyrimidine,DFRA14,Punta Espinoza,0,0
ARG,diaminopyrimidine,DFRA14,Rabida,0,0
ARG,diaminopyrimidine,DFRA20,Cabo Douglas,1.35E-05,2.54E-05
ARG,diaminopyrimidine,DFRA20,Punta Espinoza,3.97E-05,2.97E-05
ARG,diaminopyrimidine,DFRA20,Rabida,3.10E-05,3.36E-05
ARG,diaminopyrimidine,DFRA22,Cabo Douglas,0,0
ARG,diaminopyrimidine,DFRA22,Punta Espinoza,6.28E-06,2.17E-05
ARG,diaminopyrimidine,DFRA22,Rabida,0,0
ARG,diaminopyrimidine,DFRA3,Cabo Douglas,6.15E-05,2.37E-05
ARG,diaminopyrimidine,DFRA3,Punta Espinoza,4.82E-05,2.44E-05
ARG,diaminopyrimidine,DFRA3,Rabida,5.68E-05,2.38E-05
ARG,diaminopyrimidine,DFRC,Cabo Douglas,1.98E-05,2.98E-05
ARG,diaminopyrimidine,DFRC,Punta Espinoza,5.87E-05,9.90E-06
ARG,diaminopyrimidine,DFRC,Rabida,3.01E-05,3.24E-05
ARG,diaminopyrimidine,DFRD,Cabo Douglas,5.79E-05,2.14E-05
ARG,diaminopyrimidine,DFRD,Punta Espinoza,5.87E-05,9.90E-06
ARG,diaminopyrimidine,DFRD,Rabida,4.81E-05,3.03E-05
ARG,diaminopyrimidine,DFRE,Cabo Douglas,4.50E-05,2.85E-05
ARG,diaminopyrimidine,DFRE,Punta Espinoza,4.76E-05,2.40E-05
ARG,diaminopyrimidine,DFRE,Rabida,5.52E-05,2.34E-05
ARG,diaminopyrimidine,DFRF,Cabo Douglas,0,0
ARG,diaminopyrimidine,DFRF,Punta Espinoza,1.32E-05,2.42E-05
ARG,diaminopyrimidine,DFRF,Rabida,1.62E-05,3.01E-05
ARG,diaminopyrimidine,DFRG,Cabo Douglas,6.58E-05,1.44E-05
ARG,diaminopyrimidine,DFRG,Punta Espinoza,4.29E-05,2.76E-05
ARG,diaminopyrimidine,DFRG,Rabida,6.37E-05,7.26E-06
ARG,diaminopyrimidine,DFRK,Cabo Douglas,4.39E-05,3.43E-05
ARG,diaminopyrimidine,DFRK,Punta Espinoza,5.34E-05,1.95E-05
ARG,diaminopyrimidine,DFRK,Rabida,6.37E-05,7.26E-06
ARG,fluoroquinolone,CRPP,Cabo Douglas,0,0
ARG,fluoroquinolone,CRPP,Punta Espinoza,4.11E-06,1.42E-05
ARG,fluoroquinolone,CRPP,Rabida,1.61E-05,2.98E-05
ARG,fluoroquinolone,LRFA,Cabo Douglas,0,0
ARG,fluoroquinolone,LRFA,Punta Espinoza,0,0
ARG,fluoroquinolone,LRFA,Rabida,9.60E-06,2.72E-05
ARG,fluoroquinolone,PATA,Cabo Douglas,6.03E-05,2.39E-05
ARG,fluoroquinolone,PATA,Punta Espinoza,5.36E-05,1.96E-05
ARG,fluoroquinolone,PATA,Rabida,5.61E-05,2.38E-05
ARG,fluoroquinolone,PATB,Cabo Douglas,1.10E-05,2.66E-05
ARG,fluoroquinolone,PATB,Punta Espinoza,1.18E-05,2.76E-05
ARG,fluoroquinolone,PATB,Rabida,0,0
ARG,fluoroquinolone,QACH,Cabo Douglas,4.29E-06,1.49E-05
ARG,fluoroquinolone,QACH,Punta Espinoza,0,0
ARG,fluoroquinolone,QACH,Rabida,0,0
ARG,fosfomycin,FOSA,Cabo Douglas,3.36E-05,3.06E-05
ARG,fosfomycin,FOSA,Punta Espinoza,3.09E-05,3.31E-05
ARG,fosfomycin,FOSA,Rabida,4.06E-05,3.42E-05
ARG,fosfomycin,FOSA5,Cabo Douglas,0,0
ARG,fosfomycin,FOSA5,Punta Espinoza,6.28E-06,2.17E-05
ARG,fosfomycin,FOSA5,Rabida,0,0
ARG,fosfomycin,FOSA6,Cabo Douglas,5.10E-06,1.77E-05
ARG,fosfomycin,FOSA6,Punta Espinoza,0,0
ARG,fosfomycin,FOSA6,Rabida,0,0
ARG,fosfomycin,FOSB,Cabo Douglas,5.22E-05,2.68E-05
ARG,fosfomycin,FOSB,Punta Espinoza,4.81E-05,2.44E-05
ARG,fosfomycin,FOSB,Rabida,4.02E-05,3.34E-05
ARG,fosfomycin,FOSC2,Cabo Douglas,5.94E-06,2.06E-05
ARG,fosfomycin,FOSC2,Punta Espinoza,0,0
ARG,fosfomycin,FOSC2,Rabida,0,0
ARG,fosmidomycin,ROSA,Cabo Douglas,1.76E-05,2.66E-05
ARG,fosmidomycin,ROSA,Punta Espinoza,2.15E-05,2.72E-05
ARG,fosmidomycin,ROSA,Rabida,0,0
ARG,fosmidomycin,ROSB,Cabo Douglas,2.64E-05,3.30E-05
ARG,fosmidomycin,ROSB,Punta Espinoza,4.18E-05,2.64E-05
ARG,fosmidomycin,ROSB,Rabida,4.16E-05,3.49E-05
ARG,glycopeptide,BRP(MBL),Cabo Douglas,6.91E-06,2.39E-05
ARG,glycopeptide,BRP(MBL),Punta Espinoza,0,0
ARG,glycopeptide,BRP(MBL),Rabida,0,0
ARG,glycopeptide,VANA,Cabo Douglas,4.36E-05,3.34E-05
ARG,glycopeptide,VANA,Punta Espinoza,5.24E-05,1.85E-05
ARG,glycopeptide,VANA,Rabida,5.68E-05,2.38E-05
ARG,glycopeptide,VANB,Cabo Douglas,2.73E-05,3.44E-05
ARG,glycopeptide,VANB,Punta Espinoza,4.86E-05,2.46E-05
ARG,glycopeptide,VANB,Rabida,1.46E-05,2.71E-05
ARG,glycopeptide,VANC,Cabo Douglas,3.95E-05,3.66E-05
ARG,glycopeptide,VANC,Punta Espinoza,4.74E-05,2.36E-05
ARG,glycopeptide,VANC,Rabida,3.95E-05,3.30E-05
ARG,glycopeptide,VAND,Cabo Douglas,6.58E-05,1.44E-05
ARG,glycopeptide,VAND,Punta Espinoza,5.87E-05,9.90E-06
ARG,glycopeptide,VAND,Rabida,6.37E-05,7.26E-06
ARG,glycopeptide,VANE,Cabo Douglas,3.89E-05,3.61E-05
ARG,glycopeptide,VANE,Punta Espinoza,5.32E-05,1.93E-05
ARG,glycopeptide,VANE,Rabida,3.17E-05,3.42E-05
ARG,glycopeptide,VANG,Cabo Douglas,6.58E-05,1.44E-05
ARG,glycopeptide,VANG,Punta Espinoza,5.87E-05,9.90E-06
ARG,glycopeptide,VANG,Rabida,6.37E-05,7.26E-06
ARG,glycopeptide,VANH,Cabo Douglas,6.58E-05,1.44E-05
ARG,glycopeptide,VANH,Punta Espinoza,5.87E-05,9.90E-06
ARG,glycopeptide,VANH,Rabida,6.37E-05,7.26E-06
ARG,glycopeptide,VANHB,Cabo Douglas,3.41E-05,3.80E-05
ARG,glycopeptide,VANHB,Punta Espinoza,1.93E-05,2.91E-05
ARG,glycopeptide,VANHB,Rabida,4.71E-05,2.94E-05
ARG,glycopeptide,VANKI,Cabo Douglas,1.43E-05,2.64E-05
ARG,glycopeptide,VANKI,Punta Espinoza,3.55E-06,1.23E-05
ARG,glycopeptide,VANKI,Rabida,0,0
ARG,glycopeptide,VANL,Cabo Douglas,5.62E-05,2.95E-05
ARG,glycopeptide,VANL,Punta Espinoza,4.53E-05,2.85E-05
ARG,glycopeptide,VANL,Rabida,6.37E-05,7.26E-06
ARG,glycopeptide,VANM,Cabo Douglas,0,0
ARG,glycopeptide,VANM,Punta Espinoza,0,0
ARG,glycopeptide,VANM,Rabida,8.63E-06,2.44E-05
ARG,glycopeptide,VANN,Cabo Douglas,0,0
ARG,glycopeptide,VANN,Punta Espinoza,1.14E-05,2.06E-05
ARG,glycopeptide,VANN,Rabida,7.65E-06,2.16E-05
ARG,glycopeptide,VANR,Cabo Douglas,6.58E-05,1.44E-05
ARG,glycopeptide,VANR,Punta Espinoza,5.87E-05,9.90E-06
ARG,glycopeptide,VANR,Rabida,6.37E-05,7.26E-06
ARG,glycopeptide,VANRI,Cabo Douglas,6.58E-05,1.44E-05
ARG,glycopeptide,VANRI,Punta Espinoza,5.87E-05,9.90E-06
ARG,glycopeptide,VANRI,Rabida,6.37E-05,7.26E-06
ARG,glycopeptide,VANS,Cabo Douglas,6.58E-05,1.44E-05
ARG,glycopeptide,VANS,Punta Espinoza,5.87E-05,9.90E-06
ARG,glycopeptide,VANS,Rabida,6.37E-05,7.26E-06
ARG,glycopeptide,VANTRL,Cabo Douglas,6.58E-05,1.44E-05
ARG,glycopeptide,VANTRL,Punta Espinoza,5.87E-05,9.90E-06
ARG,glycopeptide,VANTRL,Rabida,6.37E-05,7.26E-06
ARG,glycopeptide,VANU,Cabo Douglas,6.58E-05,1.44E-05
ARG,glycopeptide,VANU,Punta Espinoza,5.87E-05,9.90E-06
ARG,glycopeptide,VANU,Rabida,6.37E-05,7.26E-06
ARG,glycopeptide,VANVB,Cabo Douglas,0,0
ARG,glycopeptide,VANVB,Punta Espinoza,2.55E-05,3.22E-05
ARG,glycopeptide,VANVB,Rabida,2.31E-05,3.21E-05
ARG,glycopeptide,VANW,Cabo Douglas,0,0
ARG,glycopeptide,VANW,Punta Espinoza,8.83E-06,2.11E-05
ARG,glycopeptide,VANW,Rabida,0,0
ARG,glycopeptide,VANX,Cabo Douglas,5.34E-05,2.83E-05
ARG,glycopeptide,VANX,Punta Espinoza,5.87E-05,9.90E-06
ARG,glycopeptide,VANX,Rabida,3.11E-05,3.39E-05
ARG,glycopeptide,VANXYL,Cabo Douglas,6.91E-06,2.39E-05
ARG,glycopeptide,VANXYL,Punta Espinoza,1.50E-05,2.80E-05
ARG,glycopeptide,VANXYL,Rabida,7.56E-06,2.14E-05
ARG,glycopeptide,VANY,Cabo Douglas,6.58E-05,1.44E-05
ARG,glycopeptide,VANY,Punta Espinoza,5.87E-05,9.90E-06
ARG,glycopeptide,VANY,Rabida,6.37E-05,7.26E-06
ARG,glycopeptide,VANYG1,Cabo Douglas,5.94E-06,2.06E-05
ARG,glycopeptide,VANYG1,Punta Espinoza,8.75E-06,2.07E-05
ARG,glycopeptide,VANYG1,Rabida,0,0
ARG,glycopeptide,VANZ,Cabo Douglas,6.58E-05,1.44E-05
ARG,glycopeptide,VANZ,Punta Espinoza,5.87E-05,9.90E-06
ARG,glycopeptide,VANZ,Rabida,6.37E-05,7.26E-06
ARG,MLS,CARA,Cabo Douglas,6.01E-05,2.38E-05
ARG,MLS,CARA,Punta Espinoza,5.87E-05,9.90E-06
ARG,MLS,CARA,Rabida,6.37E-05,7.26E-06
ARG,MLS,CHRB,Cabo Douglas,0,0
ARG,MLS,CHRB,Punta Espinoza,4.95E-06,1.72E-05
ARG,MLS,CHRB,Rabida,0,0
ARG,MLS,ERM(41),Cabo Douglas,2.54E-05,3.83E-05
ARG,MLS,ERM(41),Punta Espinoza,9.16E-06,2.15E-05
ARG,MLS,ERM(41),Rabida,0,0
ARG,MLS,ERMB,Cabo Douglas,0,0
ARG,MLS,ERMB,Punta Espinoza,7.66E-06,1.79E-05
ARG,MLS,ERMB,Rabida,0,0
ARG,MLS,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,Cabo Douglas,6.58E-05,1.44E-05
ARG,MLS,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,Punta Espinoza,5.87E-05,9.90E-06
ARG,MLS,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,Rabida,6.37E-05,7.26E-06
ARG,MLS,LMRB,Cabo Douglas,0,0
ARG,MLS,LMRB,Punta Espinoza,4.53E-06,1.57E-05
ARG,MLS,LMRB,Rabida,9.60E-06,2.72E-05
ARG,MLS,LMRC,Cabo Douglas,2.81E-05,3.59E-05
ARG,MLS,LMRC,Punta Espinoza,1.58E-05,2.86E-05
ARG,MLS,LMRC,Rabida,0,0
ARG,MLS,LMRD,Cabo Douglas,0,0
ARG,MLS,LMRD,Punta Espinoza,1.18E-05,2.77E-05
ARG,MLS,LMRD,Rabida,0,0
ARG,MLS,LNUD,Cabo Douglas,6.58E-05,1.44E-05
ARG,MLS,LNUD,Punta Espinoza,5.36E-05,1.96E-05
ARG,MLS,LNUD,Rabida,6.37E-05,7.26E-06
ARG,MLS,LSA,Cabo Douglas,4.51E-05,2.85E-05
ARG,MLS,LSA,Punta Espinoza,3.13E-05,3.35E-05
ARG,MLS,LSA,Rabida,4.72E-05,2.94E-05
ARG,MLS,LSAC,Cabo Douglas,5.48E-06,1.90E-05
ARG,MLS,LSAC,Punta Espinoza,3.70E-06,1.28E-05
ARG,MLS,LSAC,Rabida,0,0
ARG,MLS,LSAE,Cabo Douglas,2.74E-05,3.46E-05
ARG,MLS,LSAE,Punta Espinoza,5.87E-05,9.90E-06
ARG,MLS,LSAE,Rabida,2.33E-05,3.23E-05
ARG,MLS,MACA,Cabo Douglas,5.98E-06,2.07E-05
ARG,MLS,MACA,Punta Espinoza,1.30E-05,2.39E-05
ARG,MLS,MACA,Rabida,0,0
ARG,MLS,MACB,Cabo Douglas,3.98E-05,3.07E-05
ARG,MLS,MACB,Punta Espinoza,5.87E-05,9.90E-06
ARG,MLS,MACB,Rabida,5.62E-05,2.38E-05
ARG,MLS,MEFA,Cabo Douglas,2.97E-05,3.19E-05
ARG,MLS,MEFA,Punta Espinoza,2.11E-05,3.15E-05
ARG,MLS,MEFA,Rabida,2.91E-05,3.12E-05
ARG,MLS,MEFC,Cabo Douglas,0,0
ARG,MLS,MEFC,Punta Espinoza,1.69E-05,2.56E-05
ARG,MLS,MEFC,Rabida,6.98E-06,1.97E-05
ARG,MLS,MEL,Cabo Douglas,2.33E-05,3.47E-05
ARG,MLS,MEL,Punta Espinoza,1.53E-05,2.87E-05
ARG,MLS,MEL,Rabida,1.63E-05,3.02E-05
ARG,MLS,MSRA,Cabo Douglas,5.89E-05,2.29E-05
ARG,MLS,MSRA,Punta Espinoza,4.32E-05,2.69E-05
ARG,MLS,MSRA,Rabida,4.83E-05,3.05E-05
ARG,MLS,MSRC,Cabo Douglas,0,0
ARG,MLS,MSRC,Punta Espinoza,4.53E-06,1.57E-05
ARG,MLS,MSRC,Rabida,0,0
ARG,MLS,MSRE,Cabo Douglas,5.73E-06,1.99E-05
ARG,MLS,MSRE,Punta Espinoza,0,0
ARG,MLS,MSRE,Rabida,1.56E-05,2.91E-05
ARG,MLS,MYRA,Cabo Douglas,0,0
ARG,MLS,MYRA,Punta Espinoza,5.29E-06,1.83E-05
ARG,MLS,MYRA,Rabida,0,0
ARG,MLS,OLEB,Cabo Douglas,2.60E-05,3.26E-05
ARG,MLS,OLEB,Punta Espinoza,3.73E-05,2.86E-05
ARG,MLS,OLEB,Rabida,3.37E-05,3.65E-05
ARG,MLS,OLEI,Cabo Douglas,0,0
ARG,MLS,OLEI,Punta Espinoza,4.53E-06,1.57E-05
ARG,MLS,OLEI,Rabida,0,0
ARG,MLS,RLMA(II),Cabo Douglas,5.44E-06,1.88E-05
ARG,MLS,RLMA(II),Punta Espinoza,1.73E-05,2.63E-05
ARG,MLS,RLMA(II),Rabida,7.56E-06,2.14E-05
ARG,MLS,SALA,Cabo Douglas,6.58E-05,1.44E-05
ARG,MLS,SALA,Punta Espinoza,5.87E-05,9.90E-06
ARG,MLS,SALA,Rabida,5.41E-05,2.24E-05
ARG,MLS,SRMB,Cabo Douglas,4.64E-05,3.00E-05
ARG,MLS,SRMB,Punta Espinoza,4.38E-05,2.73E-05
ARG,MLS,SRMB,Rabida,5.41E-05,2.24E-05
ARG,MLS,TLCC,Cabo Douglas,5.48E-06,1.90E-05
ARG,MLS,TLCC,Punta Espinoza,2.23E-05,2.81E-05
ARG,MLS,TLCC,Rabida,8.51E-06,2.41E-05
ARG,MLS,TLRB_CONFERRING_TYLOSIN_RESISTANCE,Cabo Douglas,0,0
ARG,MLS,TLRB_CONFERRING_TYLOSIN_RESISTANCE,Punta Espinoza,8.29E-06,1.95E-05
ARG,MLS,TLRB_CONFERRING_TYLOSIN_RESISTANCE,Rabida,0,0
ARG,MLS,VATB,Cabo Douglas,9.78E-06,2.31E-05
ARG,MLS,VATB,Punta Espinoza,1.45E-05,2.63E-05
ARG,MLS,VATB,Rabida,3.97E-05,3.36E-05
ARG,MLS,VATE,Cabo Douglas,4.65E-05,3.60E-05
ARG,MLS,VATE,Punta Espinoza,5.15E-05,2.50E-05
ARG,MLS,VATE,Rabida,4.91E-05,3.10E-05
ARG,MLS,VATF,Cabo Douglas,3.49E-06,1.21E-05
ARG,MLS,VATF,Punta Espinoza,7.24E-06,1.69E-05
ARG,MLS,VATF,Rabida,7.65E-06,2.16E-05
ARG,MLS,VGAA,Cabo Douglas,1.88E-05,2.86E-05
ARG,MLS,VGAA,Punta Espinoza,1.96E-05,3.00E-05
ARG,MLS,VGAA,Rabida,2.15E-05,2.97E-05
ARG,MLS,VGAB,Cabo Douglas,6.58E-05,1.44E-05
ARG,MLS,VGAB,Punta Espinoza,4.88E-05,2.48E-05
ARG,MLS,VGAB,Rabida,5.52E-05,2.34E-05
ARG,MLS,VGAC,Cabo Douglas,2.29E-05,3.42E-05
ARG,MLS,VGAC,Punta Espinoza,1.77E-05,2.65E-05
ARG,MLS,VGAC,Rabida,9.60E-06,2.72E-05
ARG,MLS,VGAD,Cabo Douglas,7.78E-06,1.83E-05
ARG,MLS,VGAD,Punta Espinoza,2.05E-05,3.10E-05
ARG,MLS,VGAD,Rabida,0,0
ARG,MLS,VGAE,Cabo Douglas,3.27E-05,3.48E-05
ARG,MLS,VGAE,Punta Espinoza,2.76E-05,2.96E-05
ARG,MLS,VGAE,Rabida,2.42E-05,3.39E-05
ARG,multidrug,ABES,Cabo Douglas,3.49E-06,1.21E-05
ARG,multidrug,ABES,Punta Espinoza,0,0
ARG,multidrug,ABES,Rabida,0,0
ARG,multidrug,ACRA,Cabo Douglas,4.29E-06,1.49E-05
ARG,multidrug,ACRA,Punta Espinoza,2.83E-05,3.05E-05
ARG,multidrug,ACRA,Rabida,1.62E-05,3.00E-05
ARG,multidrug,ACRB,Cabo Douglas,0,0
ARG,multidrug,ACRB,Punta Espinoza,4.95E-06,1.72E-05
ARG,multidrug,ACRB,Rabida,0,0
ARG,multidrug,ADEC,Cabo Douglas,6.58E-05,1.44E-05
ARG,multidrug,ADEC,Punta Espinoza,5.87E-05,9.90E-06
ARG,multidrug,ADEC,Rabida,6.37E-05,7.26E-06
ARG,multidrug,ADEI,Cabo Douglas,0,0
ARG,multidrug,ADEI,Punta Espinoza,3.70E-06,1.28E-05
ARG,multidrug,ADEI,Rabida,0,0
ARG,multidrug,ADEL,Cabo Douglas,0,0
ARG,multidrug,ADEL,Punta Espinoza,3.70E-06,1.28E-05
ARG,multidrug,ADEL,Rabida,0,0
ARG,multidrug,ADER,Cabo Douglas,7.89E-06,2.73E-05
ARG,multidrug,ADER,Punta Espinoza,0,0
ARG,multidrug,ADER,Rabida,7.56E-06,2.14E-05
ARG,multidrug,ADES,Cabo Douglas,1.24E-05,2.92E-05
ARG,multidrug,ADES,Punta Espinoza,1.47E-05,2.67E-05
ARG,multidrug,ADES,Rabida,1.48E-05,2.75E-05
ARG,multidrug,ARLS,Cabo Douglas,5.49E-06,1.90E-05
ARG,multidrug,ARLS,Punta Espinoza,5.29E-06,1.83E-05
ARG,multidrug,ARLS,Rabida,1.62E-05,3.01E-05
ARG,multidrug,AXYY,Cabo Douglas,0,0
ARG,multidrug,AXYY,Punta Espinoza,3.70E-06,1.28E-05
ARG,multidrug,AXYY,Rabida,0,0
ARG,multidrug,BAER,Cabo Douglas,3.73E-05,3.98E-05
ARG,multidrug,BAER,Punta Espinoza,2.85E-05,3.09E-05
ARG,multidrug,BAER,Rabida,4.83E-05,3.06E-05
ARG,multidrug,BICYCLOMYCIN-MULTIDRUG_EFFLUX_PROTEIN_BCR,Cabo Douglas,3.96E-05,3.05E-05
