Label,id,Type,Superclass,Class,Gene
Enterocloster,62,Taxa,Enterocloster,Enterocloster,Enterocloster
Rhizobium,63,Taxa,Rhizobium,Rhizobium,Rhizobium
Lachnospira,64,Taxa,Lachnospira,Lachnospira,Lachnospira
Mesorhizobium,65,Taxa,Mesorhizobium,Mesorhizobium,Mesorhizobium
Oscillibacter,66,Taxa,Oscillibacter,Oscillibacter,Oscillibacter
Schaalia,67,Taxa,Schaalia,Schaalia,Schaalia
Actinomyces,68,Taxa,Actinomyces,Actinomyces,Actinomyces
Mediterraneibacter,69,Taxa,Mediterraneibacter,Mediterraneibacter,Mediterraneibacter
Ruminococcus,70,Taxa,Ruminococcus,Ruminococcus,Ruminococcus
Lacrimispora,71,Taxa,Lacrimispora,Lacrimispora,Lacrimispora
Gordonibacter,72,Taxa,Gordonibacter,Gordonibacter,Gordonibacter
Chryseobacterium,73,Taxa,Chryseobacterium,Chryseobacterium,Chryseobacterium
Flavobacterium,74,Taxa,Flavobacterium,Flavobacterium,Flavobacterium
Gemella,75,Taxa,Gemella,Gemella,Gemella
Nitrobacter,76,Taxa,Nitrobacter,Nitrobacter,Nitrobacter
Burkholderia,77,Taxa,Burkholderia,Burkholderia,Burkholderia
Eubacterium,78,Taxa,Eubacterium,Eubacterium,Eubacterium
Methylobacterium,79,Taxa,Methylobacterium,Methylobacterium,Methylobacterium
Pseudodesulfovibrio,80,Taxa,Pseudodesulfovibrio,Pseudodesulfovibrio,Pseudodesulfovibrio
Thermoanaerobacterium,81,Taxa,Thermoanaerobacterium,Thermoanaerobacterium,Thermoanaerobacterium
Helicobacter,82,Taxa,Helicobacter,Helicobacter,Helicobacter
Listeria,83,Taxa,Listeria,Listeria,Listeria
Crassaminicella,84,Taxa,Crassaminicella,Crassaminicella,Crassaminicella
Halomonas,85,Taxa,Halomonas,Halomonas,Halomonas
Arthrobacter,86,Taxa,Arthrobacter,Arthrobacter,Arthrobacter
Spiroplasma,87,Taxa,Spiroplasma,Spiroplasma,Spiroplasma
Acholeplasma,88,Taxa,Acholeplasma,Acholeplasma,Acholeplasma
Achromobacter,89,Taxa,Achromobacter,Achromobacter,Achromobacter
Microbacterium,90,Taxa,Microbacterium,Microbacterium,Microbacterium
Caldicellulosiruptor,91,Taxa,Caldicellulosiruptor,Caldicellulosiruptor,Caldicellulosiruptor
Lysinibacillus,92,Taxa,Lysinibacillus,Lysinibacillus,Lysinibacillus
Leptotrichia,93,Taxa,Leptotrichia,Leptotrichia,Leptotrichia
Filifactor,94,Taxa,Filifactor,Filifactor,Filifactor
Virgibacillus,95,Taxa,Virgibacillus,Virgibacillus,Virgibacillus
Amedibacterium,96,Taxa,Amedibacterium,Amedibacterium,Amedibacterium
Acetoanaerobium,97,Taxa,Acetoanaerobium,Acetoanaerobium,Acetoanaerobium
Pseudobutyrivibrio,98,Taxa,Pseudobutyrivibrio,Pseudobutyrivibrio,Pseudobutyrivibrio
Nitrosomonas,99,Taxa,Nitrosomonas,Nitrosomonas,Nitrosomonas
Intestinimonas,100,Taxa,Intestinimonas,Intestinimonas,Intestinimonas
Aminipila,101,Taxa,Aminipila,Aminipila,Aminipila
Vagococcus,102,Taxa,Vagococcus,Vagococcus,Vagococcus
Arabia,103,Taxa,Arabia,Arabia,Arabia
Caloranaerobacter,104,Taxa,Caloranaerobacter,Caloranaerobacter,Caloranaerobacter
Paraburkholderia,105,Taxa,Paraburkholderia,Paraburkholderia,Paraburkholderia
Hydrogenophaga,106,Taxa,Hydrogenophaga,Hydrogenophaga,Hydrogenophaga
Variovorax,107,Taxa,Variovorax,Variovorax,Variovorax
Lachnoanaerobaculum,108,Taxa,Lachnoanaerobaculum,Lachnoanaerobaculum,Lachnoanaerobaculum
Alkaliphilus,109,Taxa,Alkaliphilus,Alkaliphilus,Alkaliphilus
Petrocella,110,Taxa,Petrocella,Petrocella,Petrocella
Carnobacterium,111,Taxa,Carnobacterium,Carnobacterium,Carnobacterium
Lactococcus,112,Taxa,Lactococcus,Lactococcus,Lactococcus
Turicibacter,113,Taxa,Turicibacter,Turicibacter,Turicibacter
Erysipelothrix,114,Taxa,Erysipelothrix,Erysipelothrix,Erysipelothrix
Faecalibacterium,115,Taxa,Faecalibacterium,Faecalibacterium,Faecalibacterium
Prevotella,116,Taxa,Prevotella,Prevotella,Prevotella
Gottschalkia,117,Taxa,Gottschalkia,Gottschalkia,Gottschalkia
Anaerotignum,118,Taxa,Anaerotignum,Anaerotignum,Anaerotignum
Methylomicrobium,119,Taxa,Methylomicrobium,Methylomicrobium,Methylomicrobium
Thermoanaerobacter,120,Taxa,Thermoanaerobacter,Thermoanaerobacter,Thermoanaerobacter
Oligotropha,121,Taxa,Oligotropha,Oligotropha,Oligotropha
Polaribacter,122,Taxa,Polaribacter,Polaribacter,Polaribacter
Francisella,123,Taxa,Francisella,Francisella,Francisella
Brachyspira,124,Taxa,Brachyspira,Brachyspira,Brachyspira
Odoribacter,125,Taxa,Odoribacter,Odoribacter,Odoribacter
Megamonas,126,Taxa,Megamonas,Megamonas,Megamonas
Bosea,127,Taxa,Bosea,Bosea,Bosea
Sphingomonas,128,Taxa,Sphingomonas,Sphingomonas,Sphingomonas
Buchnera,129,Taxa,Buchnera,Buchnera,Buchnera
Candidatus Arthromitus,130,Taxa,Candidatus Arthromitus,Candidatus Arthromitus,Candidatus Arthromitus
Flavonifractor,131,Taxa,Flavonifractor,Flavonifractor,Flavonifractor
Blattabacterium,132,Taxa,Blattabacterium,Blattabacterium,Blattabacterium
Mitsuaria,133,Taxa,Mitsuaria,Mitsuaria,Mitsuaria
Stenotrophomonas,134,Taxa,Stenotrophomonas,Stenotrophomonas,Stenotrophomonas
Hungatella,135,Taxa,Hungatella,Hungatella,Hungatella
Acidovorax,136,Taxa,Acidovorax,Acidovorax,Acidovorax
Jeotgalibaca,137,Taxa,Jeotgalibaca,Jeotgalibaca,Jeotgalibaca
Sporosarcina,138,Taxa,Sporosarcina,Sporosarcina,Sporosarcina
Pseudolabrys,139,Taxa,Pseudolabrys,Pseudolabrys,Pseudolabrys
Cupriavidus,140,Taxa,Cupriavidus,Cupriavidus,Cupriavidus
Azospirillum,141,Taxa,Azospirillum,Azospirillum,Azospirillum
Shigella,142,Taxa,Shigella,Shigella,Shigella
Metabacillus,143,Taxa,Metabacillus,Metabacillus,Metabacillus
Agrobacterium,144,Taxa,Agrobacterium,Agrobacterium,Agrobacterium
Pelosinus,145,Taxa,Pelosinus,Pelosinus,Pelosinus
Proteus,146,Taxa,Proteus,Proteus,Proteus
Legionella,147,Taxa,Legionella,Legionella,Legionella
Parvimonas,148,Taxa,Parvimonas,Parvimonas,Parvimonas
Pseudoalteromonas,149,Taxa,Pseudoalteromonas,Pseudoalteromonas,Pseudoalteromonas
Geosporobacter,150,Taxa,Geosporobacter,Geosporobacter,Geosporobacter
Planococcus,151,Taxa,Planococcus,Planococcus,Planococcus
Finegoldia,152,Taxa,Finegoldia,Finegoldia,Finegoldia
Citrobacter,153,Taxa,Citrobacter,Citrobacter,Citrobacter
Alkalihalobacillus,154,Taxa,Alkalihalobacillus,Alkalihalobacillus,Alkalihalobacillus
Xenorhabdus,155,Taxa,Xenorhabdus,Xenorhabdus,Xenorhabdus
Bibersteinia,156,Taxa,Bibersteinia,Bibersteinia,Bibersteinia
Veillonella,157,Taxa,Veillonella,Veillonella,Veillonella
Massilistercora,158,Taxa,Massilistercora,Massilistercora,Massilistercora
Starkeya,159,Taxa,Starkeya,Starkeya,Starkeya
Oceanobacillus,160,Taxa,Oceanobacillus,Oceanobacillus,Oceanobacillus
Mycolicibacterium,161,Taxa,Mycolicibacterium,Mycolicibacterium,Mycolicibacterium
Peribacillus,162,Taxa,Peribacillus,Peribacillus,Peribacillus
Nostoc,163,Taxa,Nostoc,Nostoc,Nostoc
Mageeibacillus,164,Taxa,Mageeibacillus,Mageeibacillus,Mageeibacillus
Rhodoplanes,165,Taxa,Rhodoplanes,Rhodoplanes,Rhodoplanes
Desulfomicrobium,166,Taxa,Desulfomicrobium,Desulfomicrobium,Desulfomicrobium
Caproiciproducens,167,Taxa,Caproiciproducens,Caproiciproducens,Caproiciproducens
Leuconostoc,168,Taxa,Leuconostoc,Leuconostoc,Leuconostoc
Longibaculum,169,Taxa,Longibaculum,Longibaculum,Longibaculum
Desulfitobacterium,170,Taxa,Desulfitobacterium,Desulfitobacterium,Desulfitobacterium
Desulfotomaculum,171,Taxa,Desulfotomaculum,Desulfotomaculum,Desulfotomaculum
Serinicoccus,172,Taxa,Serinicoccus,Serinicoccus,Serinicoccus
Brevibacillus,173,Taxa,Brevibacillus,Brevibacillus,Brevibacillus
Halothece,174,Taxa,Halothece,Halothece,Halothece
Andhravirus,175,Taxa,Andhravirus,Andhravirus,Andhravirus
Bartonella,176,Taxa,Bartonella,Bartonella,Bartonella
Ruminiclostridium,177,Taxa,Ruminiclostridium,Ruminiclostridium,Ruminiclostridium
Microcystis,178,Taxa,Microcystis,Microcystis,Microcystis
Serratia,179,Taxa,Serratia,Serratia,Serratia
Halanaerobium,180,Taxa,Halanaerobium,Halanaerobium,Halanaerobium
Paucibacter,181,Taxa,Paucibacter,Paucibacter,Paucibacter
Dysosmobacter,182,Taxa,Dysosmobacter,Dysosmobacter,Dysosmobacter
Tissierella,183,Taxa,Tissierella,Tissierella,Tissierella
Methylocella,184,Taxa,Methylocella,Methylocella,Methylocella
Pedobacter,185,Taxa,Pedobacter,Pedobacter,Pedobacter
Pseudarthrobacter,186,Taxa,Pseudarthrobacter,Pseudarthrobacter,Pseudarthrobacter
Tenacibaculum,187,Taxa,Tenacibaculum,Tenacibaculum,Tenacibaculum
Anaerococcus,188,Taxa,Anaerococcus,Anaerococcus,Anaerococcus
Treponema,189,Taxa,Treponema,Treponema,Treponema
Prochlorococcus,190,Taxa,Prochlorococcus,Prochlorococcus,Prochlorococcus
Neisseria,191,Taxa,Neisseria,Neisseria,Neisseria
Desulfobacter,192,Taxa,Desulfobacter,Desulfobacter,Desulfobacter
Providencia,193,Taxa,Providencia,Providencia,Providencia
Methylorubrum,194,Taxa,Methylorubrum,Methylorubrum,Methylorubrum
Bordetella,195,Taxa,Bordetella,Bordetella,Bordetella
Geobacter,196,Taxa,Geobacter,Geobacter,Geobacter
Sinorhizobium,197,Taxa,Sinorhizobium,Sinorhizobium,Sinorhizobium
Elizabethkingia,198,Taxa,Elizabethkingia,Elizabethkingia,Elizabethkingia
Massilia,199,Taxa,Massilia,Massilia,Massilia
Christensenella,200,Taxa,Christensenella,Christensenella,Christensenella
Solibacillus,201,Taxa,Solibacillus,Solibacillus,Solibacillus
Peptoclostridium,202,Taxa,Peptoclostridium,Peptoclostridium,Peptoclostridium
Sphingobacterium,203,Taxa,Sphingobacterium,Sphingobacterium,Sphingobacterium
Peptoniphilus,204,Taxa,Peptoniphilus,Peptoniphilus,Peptoniphilus
Sphingobium,205,Taxa,Sphingobium,Sphingobium,Sphingobium
Tetragenococcus,206,Taxa,Tetragenococcus,Tetragenococcus,Tetragenococcus
Cellulophaga,207,Taxa,Cellulophaga,Cellulophaga,Cellulophaga
Calothrix,208,Taxa,Calothrix,Calothrix,Calothrix
Roseateles,209,Taxa,Roseateles,Roseateles,Roseateles
Anoxybacillus,210,Taxa,Anoxybacillus,Anoxybacillus,Anoxybacillus
Stanieria,211,Taxa,Stanieria,Stanieria,Stanieria
Lactiplantibacillus,212,Taxa,Lactiplantibacillus,Lactiplantibacillus,Lactiplantibacillus
Janibacter,213,Taxa,Janibacter,Janibacter,Janibacter
Macrococcus,214,Taxa,Macrococcus,Macrococcus,Macrococcus
Acetobacterium,215,Taxa,Acetobacterium,Acetobacterium,Acetobacterium
Capnocytophaga,216,Taxa,Capnocytophaga,Capnocytophaga,Capnocytophaga
Mycobacterium,217,Taxa,Mycobacterium,Mycobacterium,Mycobacterium
Rhodococcus,218,Taxa,Rhodococcus,Rhodococcus,Rhodococcus
Winogradskyella,219,Taxa,Winogradskyella,Winogradskyella,Winogradskyella
Aerococcus,220,Taxa,Aerococcus,Aerococcus,Aerococcus
Brevibacterium,221,Taxa,Brevibacterium,Brevibacterium,Brevibacterium
Rubrivivax,222,Taxa,Rubrivivax,Rubrivivax,Rubrivivax
Synechococcus,223,Taxa,Synechococcus,Synechococcus,Synechococcus
Methanobrevibacter,224,Taxa,Methanobrevibacter,Methanobrevibacter,Methanobrevibacter
Methanococcus,225,Taxa,Methanococcus,Methanococcus,Methanococcus
Aeromonas,226,Taxa,Aeromonas,Aeromonas,Aeromonas
Faecalitalea,227,Taxa,Faecalitalea,Faecalitalea,Faecalitalea
Geminocystis,228,Taxa,Geminocystis,Geminocystis,Geminocystis
Halobacteroides,229,Taxa,Halobacteroides,Halobacteroides,Halobacteroides
Methylibium,230,Taxa,Methylibium,Methylibium,Methylibium
Borrelia,231,Taxa,Borrelia,Borrelia,Borrelia
Ureibacillus,232,Taxa,Ureibacillus,Ureibacillus,Ureibacillus
Liquorilactobacillus,233,Taxa,Liquorilactobacillus,Liquorilactobacillus,Liquorilactobacillus
Mucilaginibacter,234,Taxa,Mucilaginibacter,Mucilaginibacter,Mucilaginibacter
Yersinia,235,Taxa,Yersinia,Yersinia,Yersinia
Brachybacterium,236,Taxa,Brachybacterium,Brachybacterium,Brachybacterium
Chlamydia,237,Taxa,Chlamydia,Chlamydia,Chlamydia
Weissella,238,Taxa,Weissella,Weissella,Weissella
Paracoccus,239,Taxa,Paracoccus,Paracoccus,Paracoccus
Psychrobacillus,240,Taxa,Psychrobacillus,Psychrobacillus,Psychrobacillus
Pantoea,241,Taxa,Pantoea,Pantoea,Pantoea
Ilyobacter,242,Taxa,Ilyobacter,Ilyobacter,Ilyobacter
Flintibacter,243,Taxa,Flintibacter,Flintibacter,Flintibacter
Mesoplasma,244,Taxa,Mesoplasma,Mesoplasma,Mesoplasma
Cytobacillus,245,Taxa,Cytobacillus,Cytobacillus,Cytobacillus
Candidatus Syntrophocurvum,246,Taxa,Candidatus Syntrophocurvum,Candidatus Syntrophocurvum,Candidatus Syntrophocurvum
Phreatobacter,247,Taxa,Phreatobacter,Phreatobacter,Phreatobacter
Formosa,248,Taxa,Formosa,Formosa,Formosa
Alcanivorax,249,Taxa,Alcanivorax,Alcanivorax,Alcanivorax
Myroides,250,Taxa,Myroides,Myroides,Myroides
Dehalobacter,251,Taxa,Dehalobacter,Dehalobacter,Dehalobacter
Paenisporosarcina,252,Taxa,Paenisporosarcina,Paenisporosarcina,Paenisporosarcina
Ensifer,253,Taxa,Ensifer,Ensifer,Ensifer
Fictibacillus,254,Taxa,Fictibacillus,Fictibacillus,Fictibacillus
Kurthia,255,Taxa,Kurthia,Kurthia,Kurthia
Methylocystis,256,Taxa,Methylocystis,Methylocystis,Methylocystis
Mogibacterium,257,Taxa,Mogibacterium,Mogibacterium,Mogibacterium
Nocardioides,258,Taxa,Nocardioides,Nocardioides,Nocardioides
Sulfurimonas,259,Taxa,Sulfurimonas,Sulfurimonas,Sulfurimonas
Inhella,260,Taxa,Inhella,Inhella,Inhella
Exiguobacterium,261,Taxa,Exiguobacterium,Exiguobacterium,Exiguobacterium
Ancylobacter,262,Taxa,Ancylobacter,Ancylobacter,Ancylobacter
Hymenobacter,263,Taxa,Hymenobacter,Hymenobacter,Hymenobacter
Chlorobium,264,Taxa,Chlorobium,Chlorobium,Chlorobium
Gordonia,265,Taxa,Gordonia,Gordonia,Gordonia
Porphyromonas,266,Taxa,Porphyromonas,Porphyromonas,Porphyromonas
Prosthecochloris,267,Taxa,Prosthecochloris,Prosthecochloris,Prosthecochloris
Colwellia,268,Taxa,Colwellia,Colwellia,Colwellia
Aquimarina,269,Taxa,Aquimarina,Aquimarina,Aquimarina
Martelella,270,Taxa,Martelella,Martelella,Martelella
Thermoclostridium,271,Taxa,Thermoclostridium,Thermoclostridium,Thermoclostridium
Haemophilus,272,Taxa,Haemophilus,Haemophilus,Haemophilus
Halarcobacter,273,Taxa,Halarcobacter,Halarcobacter,Halarcobacter
Dehalobacterium,274,Taxa,Dehalobacterium,Dehalobacterium,Dehalobacterium
Pseudorhodoplanes,275,Taxa,Pseudorhodoplanes,Pseudorhodoplanes,Pseudorhodoplanes
Intestinibaculum,276,Taxa,Intestinibaculum,Intestinibaculum,Intestinibaculum
Methanosarcina,277,Taxa,Methanosarcina,Methanosarcina,Methanosarcina
Halobacillus,278,Taxa,Halobacillus,Halobacillus,Halobacillus
Pseudoclostridium,279,Taxa,Pseudoclostridium,Pseudoclostridium,Pseudoclostridium
Pediococcus,280,Taxa,Pediococcus,Pediococcus,Pediococcus
Spirochaeta,281,Taxa,Spirochaeta,Spirochaeta,Spirochaeta
Algibacter,282,Taxa,Algibacter,Algibacter,Algibacter
Flammeovirga,283,Taxa,Flammeovirga,Flammeovirga,Flammeovirga
Pandoraea,284,Taxa,Pandoraea,Pandoraea,Pandoraea
Rickettsia,285,Taxa,Rickettsia,Rickettsia,Rickettsia
Sulfurospirillum,286,Taxa,Sulfurospirillum,Sulfurospirillum,Sulfurospirillum
Diaphorobacter,287,Taxa,Diaphorobacter,Diaphorobacter,Diaphorobacter
Spirosoma,288,Taxa,Spirosoma,Spirosoma,Spirosoma
Pradoshia,289,Taxa,Pradoshia,Pradoshia,Pradoshia
Tannerella,290,Taxa,Tannerella,Tannerella,Tannerella
Geobacillus,291,Taxa,Geobacillus,Geobacillus,Geobacillus
Alteromonas,292,Taxa,Alteromonas,Alteromonas,Alteromonas
Ralstonia,293,Taxa,Ralstonia,Ralstonia,Ralstonia
Sphaerotilus,294,Taxa,Sphaerotilus,Sphaerotilus,Sphaerotilus
Candidatus Phytoplasma,295,Taxa,Candidatus Phytoplasma,Candidatus Phytoplasma,Candidatus Phytoplasma
Parageobacillus,296,Taxa,Parageobacillus,Parageobacillus,Parageobacillus
Candidatus Pelagibacter,297,Taxa,Candidatus Pelagibacter,Candidatus Pelagibacter,Candidatus Pelagibacter
Proteiniphilum,298,Taxa,Proteiniphilum,Proteiniphilum,Proteiniphilum
Maribacter,299,Taxa,Maribacter,Maribacter,Maribacter
Caldanaerobacter,300,Taxa,Caldanaerobacter,Caldanaerobacter,Caldanaerobacter
Mesobacillus,301,Taxa,Mesobacillus,Mesobacillus,Mesobacillus
Nocardia,302,Taxa,Nocardia,Nocardia,Nocardia
Rhodoferax,303,Taxa,Rhodoferax,Rhodoferax,Rhodoferax
Dickeya,304,Taxa,Dickeya,Dickeya,Dickeya
Bdellovibrio,305,Taxa,Bdellovibrio,Bdellovibrio,Bdellovibrio
Micrococcus,306,Taxa,Micrococcus,Micrococcus,Micrococcus
Candidatus Methylopumilus,307,Taxa,Candidatus Methylopumilus,Candidatus Methylopumilus,Candidatus Methylopumilus
Defluviitoga,308,Taxa,Defluviitoga,Defluviitoga,Defluviitoga
Halocella,309,Taxa,Halocella,Halocella,Halocella
Thermosipho,310,Taxa,Thermosipho,Thermosipho,Thermosipho
Marinitoga,311,Taxa,Marinitoga,Marinitoga,Marinitoga
Marinilactibacillus,312,Taxa,Marinilactibacillus,Marinilactibacillus,Marinilactibacillus
Nonlabens,313,Taxa,Nonlabens,Nonlabens,Nonlabens
Gracilibacillus,314,Taxa,Gracilibacillus,Gracilibacillus,Gracilibacillus
Micromonospora,315,Taxa,Micromonospora,Micromonospora,Micromonospora
Leptothrix,316,Taxa,Leptothrix,Leptothrix,Leptothrix
Anoxybacter,317,Taxa,Anoxybacter,Anoxybacter,Anoxybacter
Delftia,318,Taxa,Delftia,Delftia,Delftia
Gudongella,319,Taxa,Gudongella,Gudongella,Gudongella
Hyphomicrobium,320,Taxa,Hyphomicrobium,Hyphomicrobium,Hyphomicrobium
Mycoplasmopsis,321,Taxa,Mycoplasmopsis,Mycoplasmopsis,Mycoplasmopsis
Glutamicibacter,322,Taxa,Glutamicibacter,Glutamicibacter,Glutamicibacter
Rhizobacter,323,Taxa,Rhizobacter,Rhizobacter,Rhizobacter
Empedobacter,324,Taxa,Empedobacter,Empedobacter,Empedobacter
Ornithobacterium,325,Taxa,Ornithobacterium,Ornithobacterium,Ornithobacterium
Paraliobacillus,326,Taxa,Paraliobacillus,Paraliobacillus,Paraliobacillus
Polynucleobacter,327,Taxa,Polynucleobacter,Polynucleobacter,Polynucleobacter
Dictyoglomus,328,Taxa,Dictyoglomus,Dictyoglomus,Dictyoglomus
Murdochiella,329,Taxa,Murdochiella,Murdochiella,Murdochiella
Barnesiella,330,Taxa,Barnesiella,Barnesiella,Barnesiella
Ornithinimicrobium,331,Taxa,Ornithinimicrobium,Ornithinimicrobium,Ornithinimicrobium
Saccharomonospora,332,Taxa,Saccharomonospora,Saccharomonospora,Saccharomonospora
Desulfobacterium,333,Taxa,Desulfobacterium,Desulfobacterium,Desulfobacterium
Selenomonas,334,Taxa,Selenomonas,Selenomonas,Selenomonas
Streptobacillus,335,Taxa,Streptobacillus,Streptobacillus,Streptobacillus
Desulfocurvibacter,336,Taxa,Desulfocurvibacter,Desulfocurvibacter,Desulfocurvibacter
Desulfosarcina,337,Taxa,Desulfosarcina,Desulfosarcina,Desulfosarcina
Paraoceanicella,338,Taxa,Paraoceanicella,Paraoceanicella,Paraoceanicella
Leclercia,339,Taxa,Leclercia,Leclercia,Leclercia
Hypericibacter,340,Taxa,Hypericibacter,Hypericibacter,Hypericibacter
Gramella,341,Taxa,Gramella,Gramella,Gramella
Lacinutrix,342,Taxa,Lacinutrix,Lacinutrix,Lacinutrix
Aliiarcobacter,343,Taxa,Aliiarcobacter,Aliiarcobacter,Aliiarcobacter
Mannheimia,344,Taxa,Mannheimia,Mannheimia,Mannheimia
Candidatus Izimaplasma,345,Taxa,Candidatus Izimaplasma,Candidatus Izimaplasma,Candidatus Izimaplasma
Desulfofarcimen,346,Taxa,Desulfofarcimen,Desulfofarcimen,Desulfofarcimen
Mahella,347,Taxa,Mahella,Mahella,Mahella
Methanobacterium,348,Taxa,Methanobacterium,Methanobacterium,Methanobacterium
Acetobacter,349,Taxa,Acetobacter,Acetobacter,Acetobacter
Chitinophaga,350,Taxa,Chitinophaga,Chitinophaga,Chitinophaga
Abiotrophia,351,Taxa,Abiotrophia,Abiotrophia,Abiotrophia
Xanthobacter,352,Taxa,Xanthobacter,Xanthobacter,Xanthobacter
Psychrobacter,353,Taxa,Psychrobacter,Psychrobacter,Psychrobacter
Melissococcus,354,Taxa,Melissococcus,Melissococcus,Melissococcus
Amphibacillus,355,Taxa,Amphibacillus,Amphibacillus,Amphibacillus
Fervidobacterium,356,Taxa,Fervidobacterium,Fervidobacterium,Fervidobacterium
Erwinia,357,Taxa,Erwinia,Erwinia,Erwinia
Sebaldella,358,Taxa,Sebaldella,Sebaldella,Sebaldella
Arachidicoccus,359,Taxa,Arachidicoccus,Arachidicoccus,Arachidicoccus
Wolbachia,360,Taxa,Wolbachia,Wolbachia,Wolbachia
Leptospira,361,Taxa,Leptospira,Leptospira,Leptospira
Aminobacter,362,Taxa,Aminobacter,Aminobacter,Aminobacter
Cohnella,363,Taxa,Cohnella,Cohnella,Cohnella
Nitrosopumilus,364,Taxa,Nitrosopumilus,Nitrosopumilus,Nitrosopumilus
